Club,Position,PlayerName,PlayerUID,CurrentClub,Age,CompositeScore,EstimatedCostMillions,QualityGap,WeightedGap,KeyStats
Everton,Midfielder,Toni Kroos,156772,Free Agent,26,18.25,100.0,1.9375,2.3249999999999997,"{'Passing': 20, 'Vision': 18, 'Decisions': 19, 'Technique': 16}"
Everton,Goalkeeper,Rui Patrício,55000929,Free Agent,28,16.25,100.0,1.5,2.25,"{'CommandOfArea': 14, 'Handling': 16, 'Reflexes': 18, 'OneOnOnes': 17}"
Brighton,Goalkeeper,Costel Pantilimon,7540617,Free Agent,29,16.0,100.0,1.5,2.0999999999999996,"{'CommandOfArea': 19, 'Handling': 15, 'Reflexes': 15, 'OneOnOnes': 15}"
Brighton,Defender,Benedikt Höwedes,35015879,Free Agent,28,16.75,100.0,1.625,1.95,"{'Tackling': 18, 'Marking': 18, 'Heading': 16, 'Positioning': 15}"
Leicester,Goalkeeper,Marcelo Barovero,955321,Free Agent,32,16.0,100.0,1.5,2.0999999999999996,"{'CommandOfArea': 16, 'Handling': 17, 'Reflexes': 18, 'OneOnOnes': 13}"
Leicester,Defender,Mats Hummels,35007944,Free Agent,27,16.75,100.0,1.625,1.95,"{'Tackling': 17, 'Marking': 17, 'Heading': 15, 'Positioning': 18}"
Wolves,Goalkeeper,Petr Cech,5640119,Free Agent,34,16.0,95.84483662506815,1.5,2.0999999999999996,"{'CommandOfArea': 15, 'Handling': 18, 'Reflexes': 17, 'OneOnOnes': 14}"
Wolves,Defender,Pepe,309147,Free Agent,33,16.75,94.24875518871325,1.625,1.95,"{'Tackling': 16, 'Marking': 18, 'Heading': 16, 'Positioning': 17}"
Crystal Palace,Goalkeeper,Carlos Kameni,917333,Free Agent,32,16.0,100.0,1.5,2.0999999999999996,"{'CommandOfArea': 14, 'Handling': 16, 'Reflexes': 17, 'OneOnOnes': 17}"
Crystal Palace,Defender,Diego Godín,8826848,Free Agent,30,16.75,100.0,1.625,1.95,"{'Tackling': 16, 'Marking': 17, 'Heading': 18, 'Positioning': 16}"
Fulham,Midfielder,Juan Sebastián Verón,12545,Free Agent,41,18.25,98.21868899491355,1.9375,2.90625,"{'Passing': 19, 'Vision': 20, 'Decisions': 15, 'Technique': 19}"
Fulham,Goalkeeper,Jefferson,308322,Free Agent,33,15.75,94.7543401270089,1.5,1.9500000000000002,"{'CommandOfArea': 16, 'Handling': 15, 'Reflexes': 16, 'OneOnOnes': 16}"
Bournemouth,Midfielder,David Silva,7458280,Free Agent,30,18.25,100.0,1.9375,2.5187500000000003,"{'Passing': 19, 'Vision': 19, 'Decisions': 16, 'Technique': 19}"
Bournemouth,Goalkeeper,Emiliano Viviano,7989257,Free Agent,30,15.75,100.0,1.5,1.7999999999999998,"{'CommandOfArea': 16, 'Handling': 15, 'Reflexes': 16, 'OneOnOnes': 16}"
Southampton,Midfielder,Luka Modric,653054,Free Agent,30,18.25,100.0,1.9375,2.90625,"{'Passing': 19, 'Vision': 18, 'Decisions': 18, 'Technique': 18}"
Southampton,Goalkeeper,Lovre Kalinic,24003757,Free Agent,26,15.75,100.0,1.5,1.9500000000000002,"{'CommandOfArea': 15, 'Handling': 17, 'Reflexes': 16, 'OneOnOnes': 15}"
Ipswich,Midfielder,Xabi Alonso,811316,Free Agent,34,18.0,97.15795250123793,1.9375,2.90625,"{'Passing': 20, 'Vision': 18, 'Decisions': 18, 'Technique': 16}"
Ipswich,Goalkeeper,Agustín Marchesín,965309,Free Agent,28,15.75,100.0,1.5,1.9500000000000002,"{'CommandOfArea': 15, 'Handling': 14, 'Reflexes': 17, 'OneOnOnes': 17}"
Brentford,Midfielder,Ronaldinho Gaúcho,3301294,Free Agent,36,18.0,97.15795250123793,1.9375,2.90625,"{'Passing': 16, 'Vision': 20, 'Decisions': 16, 'Technique': 20}"
Brentford,Goalkeeper,Keylor Navas,8826969,Free Agent,29,15.75,100.0,1.5,1.9500000000000002,"{'CommandOfArea': 15, 'Handling': 12, 'Reflexes': 19, 'OneOnOnes': 17}"
Nottingham Forest,Goalkeeper,Fernando Muslera,78001113,Free Agent,30,15.75,100.0,1.5,2.0999999999999996,"{'CommandOfArea': 14, 'Handling': 16, 'Reflexes': 18, 'OneOnOnes': 15}"
Nottingham Forest,Defender,Dante,316742,Free Agent,32,16.5,100.0,1.625,1.95,"{'Tackling': 18, 'Marking': 17, 'Heading': 15, 'Positioning': 16}"
