Club,Position,PlayersNeeded,CurrentPlayers,RequiredPlayers,AvgCompositeScore,QualityGap,WeightedGap,PriorityFactor,StatDeficiencies
Brighton,Goalkeeper,1,1,2,10.5,1.5,2.0999999999999996,1.4,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Brighton,Defender,1,4,2,10.375,1.625,1.95,1.2,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Brighton,Midfielder,1,4,2,10.0625,1.9375,1.9375,1.0,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Brighton,Striker,1,2,2,11.5,0.5,0.65,1.3,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Leicester,Goalkeeper,1,1,2,10.5,1.5,2.0999999999999996,1.4,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Leicester,Defender,1,4,2,10.375,1.625,1.95,1.2,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Leicester,Midfielder,1,4,2,10.0625,1.9375,1.9375,1.0,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Leicester,Striker,1,2,2,11.5,0.5,0.65,1.3,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Wolves,Goalkeeper,1,1,2,10.5,1.5,2.0999999999999996,1.4,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Wolves,Defender,1,4,2,10.375,1.625,1.95,1.2,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Wolves,Midfielder,1,4,2,10.0625,1.9375,1.9375,1.0,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Wolves,Striker,1,2,2,11.5,0.5,0.65,1.3,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Crystal Palace,Goalkeeper,1,1,2,10.5,1.5,2.0999999999999996,1.4,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Crystal Palace,Defender,1,4,2,10.375,1.625,1.95,1.2,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Crystal Palace,Midfielder,1,4,2,10.0625,1.9375,1.9375,1.0,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Crystal Palace,Striker,1,2,2,11.5,0.5,0.65,1.3,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Fulham,Goalkeeper,1,1,2,10.5,1.5,1.9500000000000002,1.3,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Fulham,Defender,1,4,2,10.375,1.625,1.625,1.0,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Fulham,Midfielder,1,4,2,10.0625,1.9375,2.90625,1.5,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Fulham,Striker,1,2,2,11.5,0.5,0.6,1.2,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Bournemouth,Goalkeeper,1,1,2,10.5,1.5,1.7999999999999998,1.2,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Bournemouth,Defender,1,4,2,10.375,1.625,1.625,1.0,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Bournemouth,Midfielder,1,4,2,10.0625,1.9375,2.5187500000000003,1.3,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Bournemouth,Striker,1,2,2,11.5,0.5,0.75,1.5,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Southampton,Goalkeeper,1,1,2,10.5,1.5,1.9500000000000002,1.3,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Southampton,Defender,1,4,2,10.375,1.625,1.625,1.0,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Southampton,Midfielder,1,4,2,10.0625,1.9375,2.90625,1.5,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Southampton,Striker,1,2,2,11.5,0.5,0.6,1.2,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Ipswich,Goalkeeper,1,1,2,10.5,1.5,1.9500000000000002,1.3,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Ipswich,Defender,1,4,2,10.375,1.625,1.625,1.0,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Ipswich,Midfielder,1,4,2,10.0625,1.9375,2.90625,1.5,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Ipswich,Striker,1,2,2,11.5,0.5,0.6,1.2,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Brentford,Goalkeeper,1,1,2,10.5,1.5,1.9500000000000002,1.3,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Brentford,Defender,1,4,2,10.375,1.625,1.625,1.0,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Brentford,Midfielder,1,4,2,10.0625,1.9375,2.90625,1.5,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Brentford,Striker,1,2,2,11.5,0.5,0.6,1.2,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Nottingham Forest,Goalkeeper,1,1,2,10.5,1.5,2.0999999999999996,1.4,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Nottingham Forest,Defender,1,4,2,10.375,1.625,1.95,1.2,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Nottingham Forest,Midfielder,1,4,2,10.0625,1.9375,1.9375,1.0,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Nottingham Forest,Striker,1,2,2,11.5,0.5,0.65,1.3,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
